feature,importance
r_flux_p25,64
i_decay_rate,61
Z,58
peak_delay_g_r,58
peak_time_spread,54
g_decay_rate,47
g_det_duration,45
r_det_duration,43
g_rise_time,39
r_flux_skew,39
r_rise_rate,38
z_decay_rate,37
detection_time_span,37
r_flux_kurtosis,35
color_peak_r_i,33
u_cadence_mean,32
u_time_span,32
r_cv,31
i_flux_skew,29
mean_variability,29
i_peak_time_rel,28
u_snr_max,27
r_rise_time,26
i_err_std,26
r_decay_rate,26
u_err_std,26
i_time_span,25
r_flux_p10,25
i_det_duration,25
r_frac_above_mean,25
z_cadence_std,24
color_peak_u_g,23
color_peak_i_z,23
z_flux_kurtosis,22
z_flux_p10,22
i_cv,22
r_flux_median,22
g_rise_rate,22
i_flux_iqr,21
g_flux_skew,21
z_cv,20
g_trend_r2,20
r_err_mean,20
y_time_span,20
g_cadence_std,20
i_flux_p75,20
u_flux_p90,19
u_flux_median,19
u_fraction,19
g_err_std,19
u_err_mean,19
i_cadence_mean,19
g_frac_above_mean,19
z_flux_p25,18
i_variability,18
g_autocorr,18
u_flux_p10,18
y_det_frac,18
g_cadence_mean,18
z_time_span,17
r_err_std,17
color_u_g,17
i_decay_time,17
g_flux_p25,17
y_flux_skew,16
i_cadence_std,16
y_cadence_std,16
y_flux_p90,16
z_err_std,16
i_err_mean,16
i_flux_min,16
y_err_mean,15
u_snr_median,15
u_flux_skew,15
y_cv,15
u_flux_kurtosis,15
r_decay_time,15
u_residual_std,15
r_flux_iqr,15
n_det_pre_peak,14
y_peak_time_rel,14
color_peak_u_r,14
g_flux_iqr,14
y_flux_range,14
u_trend_r2,14
EBV,14
g_cv,14
y_err_std,14
z_trend_slope,14
i_rise_time,14
g_flux_p10,14
g_sign_change_rate,14
y_flux_min,13
color_z_y,13
y_flux_kurtosis,13
y_flux_p75,13
color_g_r,13
i_trend_slope,13
i_frac_above_mean,13
z_cadence_mean,13
z_err_mean,13
g_flux_kurtosis,13
i_flux_p10,13
max_variability,13
u_flux_min,13
u_flux_p25,12
u_flux_iqr,12
r_time_span,12
r_det_flux_mean,12
i_trend_r2,12
z_flux_mean,12
r_cadence_mean,12
z_rise_rate,12
g_peak_time_rel,12
u_trend_slope,12
g_fraction,12
y_flux_p25,12
y_cadence_mean,12
z_trend_r2,12
y_snr_mean,12
color_i_z,12
color_peak_g_r,12
z_flux_min,11
r_snr_median,11
r_variability,11
color_u_r_z_norm,11
blue_fraction,11
g_err_mean,11
color_peak_g_i,11
g_flux_min,11
g_decay_time,11
z_rise_time,11
y_snr_max,11
g_snr_mean,11
r_flux_min,11
u_flux_mean,11
i_det_frac,10
r_peak_time_rel,10
y_snr_std,10
total_observations,10
z_flux_skew,10
z_flux_p75,10
i_rise_rate,9
z_flux_std,9
i_flux_mean,9
i_flux_p25,9
g_flux_median,9
z_flux_diff_std,9
r_flux_diff_std,9
u_cv,9
g_variability,9
z_det_flux_mean,9
g_flux_p75,9
y_flux_p10,9
r_autocorr,9
z_variability,8
z_snr_mean,8
z_frac_above_mean,8
r_sign_change_rate,8
r_snr_mean,8
r_trend_r2,8
u_snr_mean,8
r_flux_std,8
y_trend_slope,8
g_time_span,8
y_frac_above_mean,8
u_dominance,8
u_cadence_std,8
y_flux_diff_mean,8
y_residual_std,8
peak_delay_u_r,8
color_r_i,8
color_g_i,8
total_time_span,8
blue_red_ratio,7
u_flux_p75,7
r_rms,7
y_flux_diff_std,7
z_snr_median,7
g_trend_slope,7
r_n_det,7
g_snr_max,7
color_u_r,7
g_flux_std,7
g_n_obs,7
g_residual_std,7
i_snr_std,6
i_n_det,6
z_det_frac,6
n_det_near_peak,6
i_snr_max,6
g_det_frac,6
color_u_i,6
total_detections,6
y_snr_median,6
z_flux_p90,6
u_snr_std,6
z_rms,6
y_flux_iqr,6
y_rise_rate,6
g_flux_diff_mean,5
u_flux_diff_std,5
z_flux_diff_mean,5
color_peak_u_i,5
u_variability,5
r_flux_diff_mean,5
u_flux_diff_mean,5
i_flux_diff_mean,5
y_decay_rate,5
r_flux_p75,5
some_color_score,5
r_det_flux_max,5
i_flux_median,5
i_flux_p90,5
r_flux_p90,5
z_n_det,5
z_n_obs,5
z_flux_iqr,5
y_flux_std,5
y_n_obs,5
z_decay_time,5
z_det_duration,5
g_flux_p90,5
g_snr_median,5
u_decay_rate,5
color_peak_z_y,5
z_snr_max,5
z_peak_time_rel,5
y_flux_mean,5
u_frac_above_mean,4
y_trend_r2,4
g_det_flux_mean,4
n_det_post_peak,4
i_flux_diff_std,4
z_flux_median,4
i_det_flux_max,4
r_flux_mean,4
u_det_frac,4
u_flux_range,4
r_cadence_std,4
r_trend_slope,4
i_det_flux_mean,4
g_flux_max,4
z_residual_std,4
u_n_obs,4
u_peak_time_rel,3
i_residual_std,3
u_flux_max,3
g_n_det,3
y_flux_max,3
z_peak_flux,3
r_n_obs,3
z_det_flux_max,3
r_det_frac,3
i_snr_mean,3
i_flux_range,3
r_snr_max,3
i_n_obs,3
i_flux_kurtosis,3
r_snr_std,3
i_flux_std,3
r_flux_range,3
u_flux_std,3
y_flux_median,3
y_decay_time,3
y_variability,3
g_rms,3
z_flux_range,2
r_peak_flux,2
u_n_det,2
i_flux_max,2
r_residual_std,2
i_snr_median,2
i_rms,2
g_det_flux_max,2
z_snr_std,2
y_det_duration,2
u_det_duration,2
g_snr_std,2
g_flux_range,2
g_flux_diff_std,2
n_bands_near_peak,1
g_flux_mean,1
u_rise_rate,1
u_decay_time,1
r_flux_max,1
duration_class,1
y_det_flux_mean,1
g_peak_flux,1
y_n_det,1
y_det_flux_max,1
z_flux_max,0
has_u_near_peak,0
i_peak_flux,0
y_rms,0
y_rise_time,0
y_peak_flux,0
u_rms,0
peak_band_is_g,0
peak_band_is_blue,0
peak_band_is_u,0
n_bands_detected,0
u_peak_flux,0
u_det_flux_max,0
u_det_flux_mean,0
u_rise_time,0
