iter	Passed	Remaining
0	23	9390
1	43	8650
2	64	8532
3	83	8297
4	104	8224
5	123	8105
6	143	8054
7	167	8217
8	187	8143
9	207	8074
10	227	8046
11	247	8012
12	269	8008
13	290	8009
14	310	7959
15	332	7968
16	354	7981
17	378	8023
18	400	8026
19	422	8026
20	444	8019
21	466	8020
22	487	7986
23	516	8088
24	538	8076
25	560	8057
26	581	8039
27	606	8055
28	629	8059
29	650	8021
30	669	7970
31	690	7946
32	708	7881
33	733	7899
34	766	7989
35	789	7985
36	810	7955
37	832	7933
38	856	7931
39	880	7927
40	909	7965
41	947	8077
42	970	8054
43	991	8019
44	1015	8014
45	1038	7995
46	1056	7936
47	1076	7894
48	1097	7860
49	1116	7812
50	1134	7764
51	1152	7714
52	1169	7660
53	1187	7607
54	1205	7564
55	1223	7516
56	1253	7540
57	1273	7507
58	1291	7462
59	1311	7431
60	1333	7411
61	1353	7381
62	1384	7404
63	1406	7385
64	1428	7362
65	1449	7334
66	1468	7298
67	1490	7277
68	1510	7244
69	1528	7203
70	1545	7163
71	1564	7127
72	1584	7098
73	1603	7062
74	1623	7033
75	1642	7000
76	1661	6968
77	1679	6934
78	1698	6901
79	1722	6889
80	1741	6856
81	1760	6825
82	1786	6823
83	1807	6797
84	1827	6773
85	1851	6761
86	1875	6746
87	1898	6730
88	1920	6712
89	1940	6685
90	1962	6664
91	1980	6630
92	1998	6598
93	2020	6575
94	2039	6546
95	2058	6518
96	2076	6486
97	2095	6456
98	2113	6426
99	2132	6396
100	2152	6370
101	2170	6341
102	2187	6308
103	2204	6274
104	2221	6240
105	2239	6210
106	2256	6179
107	2275	6151
108	2293	6122
109	2310	6090
110	2342	6099
111	2362	6076
112	2384	6055
113	2403	6031
114	2422	6003
115	2440	5975
116	2458	5947
117	2477	5919
118	2495	5891
119	2514	5868
120	2533	5841
121	2551	5813
122	2570	5787
123	2588	5761
124	2605	5732
125	2623	5704
126	2641	5677
127	2659	5651
128	2678	5626
129	2699	5607
130	2717	5579
131	2736	5556
132	2756	5533
133	2777	5513
134	2798	5492
135	2819	5472
136	2840	5453
137	2859	5429
138	2879	5406
139	2898	5382
140	2919	5362
141	2937	5337
142	2956	5312
143	2974	5288
144	2999	5275
145	3022	5258
146	3045	5242
147	3070	5228
148	3089	5204
149	3109	5182
150	3128	5159
151	3149	5139
152	3168	5114
153	3189	5094
154	3209	5072
155	3230	5052
156	3250	5031
157	3271	5011
158	3292	4990
159	3313	4970
160	3336	4953
161	3357	4932
162	3379	4914
163	3400	4892
164	3422	4873
165	3442	4852
166	3464	4833
167	3487	4815
168	3506	4793
169	3528	4773
170	3548	4752
171	3568	4729
172	3586	4706
173	3605	4682
174	3624	4659
175	3644	4637
176	3663	4615
177	3681	4591
178	3699	4567
179	3719	4546
180	3738	4523
181	3757	4500
182	3774	4475
183	3791	4450
184	3811	4429
185	3828	4404
186	3845	4380
187	3863	4356
188	3882	4334
189	3899	4310
190	3919	4288
191	3938	4266
192	3956	4243
193	3976	4222
194	3996	4201
195	4016	4179
196	4036	4159
197	4055	4137
198	4072	4113
199	4090	4090
200	4107	4066
201	4124	4043
202	4144	4022
203	4161	3998
204	4179	3975
205	4197	3952
206	4215	3930
207	4234	3909
208	4255	3888
209	4273	3866
210	4291	3844
211	4310	3822
212	4328	3799
213	4345	3776
214	4363	3754
215	4381	3732
216	4399	3710
217	4417	3688
218	4435	3665
219	4456	3646
220	4476	3625
221	4500	3608
222	4522	3589
223	4544	3570
224	4562	3548
225	4588	3532
226	4609	3512
227	4627	3491
228	4649	3471
229	4669	3451
230	4689	3430
231	4709	3410
232	4730	3390
233	4747	3367
234	4766	3346
235	4786	3325
236	4803	3303
237	4820	3281
238	4838	3259
239	4856	3237
240	4875	3216
241	4895	3196
242	4913	3174
243	4935	3155
244	4954	3134
245	4974	3113
246	4996	3094
247	5014	3073
248	5034	3053
249	5053	3032
250	5072	3010
251	5091	2989
252	5108	2968
253	5126	2946
254	5144	2925
255	5162	2904
256	5180	2882
257	5199	2861
258	5215	2839
259	5233	2817
260	5250	2796
261	5268	2775
262	5300	2761
263	5319	2740
264	5337	2719
265	5356	2698
266	5376	2678
267	5403	2661
268	5427	2643
269	5470	2633
270	5491	2614
271	5512	2594
272	5532	2573
273	5554	2554
274	5573	2533
275	5596	2514
276	5639	2504
277	5677	2491
278	5707	2475
279	5731	2456
280	5758	2438
281	5778	2418
282	5797	2397
283	5818	2376
284	5836	2354
285	5857	2334
286	5880	2315
287	5901	2294
288	5921	2274
289	5939	2252
290	5957	2231
291	5977	2210
292	5996	2189
293	6013	2168
294	6032	2147
295	6053	2126
296	6072	2106
297	6092	2085
298	6110	2064
299	6130	2043
300	6149	2022
301	6168	2001
302	6185	1980
303	6205	1959
304	6224	1938
305	6241	1917
306	6259	1896
307	6276	1874
308	6296	1854
309	6315	1833
310	6335	1813
311	6357	1793
312	6379	1773
313	6399	1752
314	6419	1732
315	6441	1712
316	6463	1692
317	6483	1671
318	6504	1651
319	6524	1631
320	6544	1610
321	6564	1590
322	6584	1569
323	6603	1548
324	6622	1528
325	6640	1507
326	6658	1486
327	6684	1467
328	6701	1446
329	6720	1425
330	6739	1404
331	6756	1383
332	6775	1363
333	6792	1342
334	6810	1321
335	6828	1300
336	6847	1280
337	6864	1259
338	6885	1239
339	6906	1218
340	6928	1198
341	6947	1178
342	6978	1159
343	6997	1139
344	7016	1118
345	7032	1097
346	7050	1076
347	7071	1056
348	7088	1035
349	7107	1015
350	7125	994
351	7142	973
352	7160	953
353	7177	932
354	7194	912
355	7214	891
356	7236	871
357	7254	851
358	7270	830
359	7287	809
360	7308	789
361	7325	768
362	7343	748
363	7363	728
364	7381	707
365	7401	687
366	7426	667
367	7445	647
368	7465	627
369	7484	606
370	7503	586
371	7521	566
372	7540	545
373	7560	525
374	7578	505
375	7597	484
376	7628	465
377	7645	444
378	7663	424
379	7680	404
380	7697	383
381	7714	363
382	7732	343
383	7752	323
384	7769	302
385	7787	282
386	7805	262
387	7824	241
388	7843	221
389	7862	201
390	7883	181
391	7902	161
392	7919	141
393	7937	120
394	7954	100
395	7974	80
396	8005	60
397	8023	40
398	8041	20
399	8060	0
