n_estimators,learning_rate,max_depth,num_leaves,mean_f1,std_f1
300,0.03,10,63,0.5546771323914181,0.05804511782864944
800,0.01,6,63,0.5544513941859479,0.05931542335786764
800,0.01,6,31,0.5544513941859479,0.05931542335786764
300,0.03,6,63,0.5406803486584099,0.053069332375852325
300,0.03,6,31,0.5384441501957963,0.050538879857795004
300,0.01,6,31,0.5371276805036396,0.06346826538520307
300,0.01,6,63,0.5371276805036396,0.06346826538520307
300,0.03,8,31,0.5368062582866803,0.05315705504350519
500,0.01,10,63,0.535597101311387,0.06265232113650272
300,0.01,8,31,0.5354746237478042,0.060896169874704566
500,0.01,10,31,0.5351499593548111,0.05858552980433266
500,0.01,6,31,0.5298956139480048,0.048324824117182384
500,0.01,6,63,0.5298956139480048,0.048324824117182384
500,0.01,8,31,0.5288060263653483,0.06960476598060171
500,0.01,8,63,0.5267652100388178,0.07056244603290487
300,0.01,10,31,0.5267011822847867,0.06835970288747072
500,0.03,10,31,0.525813785187504,0.04103809702088138
300,0.01,8,63,0.5237839097263466,0.0627561440160837
500,0.03,10,63,0.5227290916366547,0.05206259287799228
300,0.01,10,63,0.519459671873465,0.057983547015123836
800,0.01,8,63,0.5180567675768072,0.05060933523975415
300,0.03,8,63,0.5174314811195797,0.060855377538385796
300,0.03,10,31,0.5164987524045649,0.05146709109949182
500,0.03,6,63,0.5161714157512929,0.051050711081802716
500,0.03,6,31,0.5140437561768249,0.051457050299066165
800,0.01,8,31,0.5137103919582018,0.0701916746613251
800,0.01,10,31,0.5114067864206178,0.04705062527151677
800,0.01,10,63,0.5080072959416324,0.04941514121909613
300,0.05,10,31,0.5073475778976106,0.0685239659544796
300,0.05,10,63,0.505400966183575,0.04811518925356469
300,0.05,8,63,0.5011978449406793,0.07115232795152898
500,0.03,8,63,0.49979122501713863,0.049373426173527926
500,0.05,10,31,0.4987154471544716,0.07468495333503651
500,0.03,8,31,0.49567099567099565,0.07259315607360894
800,0.03,10,31,0.4946059881320367,0.07322865814461141
800,0.03,10,63,0.49265217391304345,0.08880049217323031
800,0.05,10,31,0.4923386355602687,0.069945381706761
500,0.05,8,63,0.4883281446913742,0.06885081542261878
800,0.03,8,63,0.4842049689440994,0.0612104917049264
800,0.03,8,31,0.47877292608792354,0.09139863317063904
800,0.03,6,31,0.47676131168606517,0.07124013161011386
800,0.03,6,63,0.4747204953595346,0.07068920913339187
300,0.05,8,31,0.4700467541453531,0.06484668374100025
800,0.05,10,63,0.468636635645158,0.07247654490377257
500,0.05,6,31,0.46836275217872797,0.07194700219757781
300,0.05,6,63,0.4671575048624101,0.07165048941960764
500,0.05,10,63,0.46678649688475093,0.07342895144171606
500,0.05,8,31,0.46643942683456363,0.08032460157160717
800,0.05,8,63,0.4657586608570009,0.08069374726042827
300,0.05,6,31,0.46520628535021497,0.07356017762460974
800,0.05,8,31,0.4603339689252204,0.07086757023532793
500,0.05,6,63,0.454443338259314,0.08401854121585815
800,0.05,6,31,0.45398860251886397,0.05440032965416901
800,0.05,6,63,0.44006918859945,0.06664818475843397
